"X","Y","Z"
0,1.86099168471992,1
0.01,1.8517207095772,1
0.02,0.541982581354678,1
0.03,-0.805116761736572,0
0.04,0.373095866255462,1
0.05,-1.11914715245366,0
0.06,-0.75795140914619,0
0.07,1.32215514190495,1
0.08,-0.464694372452795,0
0.09,-0.658862045817077,0
0.1,-1.14377772584558,0
0.11,-0.517412682399154,0
0.12,-0.84214278228581,0
0.13,-0.0640482407808304,0
0.14,0.848159983158112,1
0.15,1.83771216273308,1
0.16,-0.279838950522244,0
0.17,2.13106584183872,1
0.18,1.76032751176506,1
0.19,-1.71700119547546,0
0.2,-0.955871576629579,0
0.21,1.17911105699837,1
0.22,1.02233672913164,1
0.23,-0.0964080379158258,0
0.24,1.37360043521971,1
0.25,-1.06815324258059,0
0.26,-0.865020028091967,0
0.27,0.691263409778476,1
0.28,-0.715066456496716,0
0.29,-0.21923434831202,0
0.3,1.58791450057179,1
0.31,1.64572813123465,1
0.32,0.517190877981484,1
0.33,-0.652252475805581,0
0.34,-0.381742371097207,0
0.35,-1.45457148142159,0
0.36,-0.32101361207664,0
0.37,-1.16601784072816,0
0.38,-1.47040385369211,0
0.39,1.2745422193408,1
0.4,-0.0706837106496095,0
0.41,-0.0383084036037326,0
0.42,-0.868428194820881,0
0.43,-0.44461565528065,0
0.44,2.33119424298406,1
0.45,-0.863375385478139,0
0.46,-0.15179050244391,0
0.47,1.37875284001231,1
0.48,0.70196458093822,1
0.49,0.155608591400087,0
0.5,-1.29070391692221,0
0.51,1.57590742338449,1
0.52,1.81895246122032,1
0.53,2.44859792266041,1
0.54,0.233231202661991,0
0.55,2.20869321301579,1
0.56,1.65426548238844,1
0.57,1.04535198833793,1
0.58,1.70199737224728,1
0.59,2.20014116555452,1
0.6,-1.05566970407963,0
0.61,-1.08210306368768,0
0.62,-0.650710803568363,0
0.63,2.5968541951105,1
0.64,0.167054811827838,0
0.65,-0.856171252578497,0
0.66,1.75353365562856,1
0.67,-0.764757229872048,0
0.68,0.941561194434762,1
0.69,0.829199970290065,1
0.7,1.12008925043046,1
0.71,-0.658778489530087,0
0.72,-1.19979703865945,0
0.73,-0.376025834567845,0
0.74,1.54393000412732,1
0.75,0.448928656987846,0
0.76,1.6464332549274,1
0.77,-1.083779877536,0
0.78,0.941722051911056,1
0.79,-0.596516265571117,0
0.8,1.6111511580646,1
0.81,-0.79301851760596,0
0.82,2.21777529146522,1
0.83,0.237044796273112,0
0.84,1.112764547728,1
0.85,-0.790517497435212,0
0.86,0.550419906750321,0
0.87,0.61537511728704,0
0.88,-0.931073339544237,0
0.89,2.83629832729697,1
0.9,-0.38607570938766,0
0.91,1.61407526381314,1
0.92,1.69529004495591,1
0.93,-0.221180838234723,0
0.94,-0.831369553171098,0
0.95,0.570287098921835,0
0.96,-0.808710939213634,0
0.97,1.14788513284177,1
0.98,1.36154103141278,1
0.99,1.64013398230076,1
1,-0.173694079741836,0
